"NBR name", "new name"
"Heddeveien Fus barnehage AS", "Heddeveien FUS barnehage"
"Imi Åpen barnehage", "Imi åpen barnehage"
"International School Of Stavanger Avd barnehage", "International School of Stavanger avd. barnehage"
"Muldvarpen barnehage SA", "Muldvarpen barnehage"
"Preg barnehager Hinna AS", "Preg barnehager Hinna"
"Preg barnehager Lassa AS", "Preg barnehager Lassa"
"Preg barnehager Finnøy AS", "Preg barnehager Finnøy"
"Qmarkå Fus barnehage AS", "Qmarkå FUS barnehage"
"Stavanger British Pre-School", "Stavanger British Pre-school"
"Stiftelsen Steinerbarnehagen Bukkene Bruse", "Stiftelsen steinerbarnehagen Bukkene Bruse"
"Stokka åpen barnehage AS", "Stokka åpen barnehage"
"Tommeliten barnehage SA", "Tommeliten barnehage"
"Ulsnes barnehage SA", "Ulsnes barnehage"
"Ørnestein gårdsbarnehage AS", "Ørnestein gårdsbarnehage"
"Amanda barnehage SA", "Amanda barnehage"
"Gard barnehage SA", "Gard barnehage"
"Haugaland idrettsbarnehage AS", "Haugaland idrettsbarnehage"
"Haugesund International Preschool Fus AS", "Haugesund International Preschool FUS"
"Holmegaten familiebarnehage Ans", "Holmegaten familiebarnehage"
"Kvala barnehage AS", "Kvala barnehage"
"Kyvikdalen barnehage SA", "Kyvikdalen barnehage"
"Li-Te AS", "Li-te"
"Lønneberget barnehage AS", "Lønneberget barnehage"
"Presthaug Fus barnehage", "Presthaug FUS barnehage"
"Rossabø Fus aktivitetsbarnehage AS", "Rossabø FUS aktivitetsbarnehage"
"Rufus friluftsbarnehage SA", "Rufus friluftsbarnehage"
"Skåre Fus barnehage AS", "Skåre FUS barnehage"
"Små barnehager Haugesund Avd Risøy", "Små barnehager Haugesund avd. Risøy"
"Små barnehager Sentrum AS", "Små barnehager Sentrum"
"Småbarnehager Røvær AS", "Småbarnehager Røvær"
"Steinsfjellet barnehage SA", "Steinsfjellet barnehage"
"Stiftelsen Soria Moria steinerbarnehage", "Stiftelsen Soria Moria Steinerbarnehage"
"Udland Fus barnehage AS", "Udland FUS barnehage"
"Vassbrekke Fus kulturbarnehage AS", "Vassbrekke FUS kulturbarnehage"
"Villduen barnehage SA", "Villduen barnehage"
"Bogafjell Åpne barnehage", "Bogafjell åpne barnehage"
"Bogafjellbakken naturbarnehage SA", "Bogafjellbakken naturbarnehage"
"Buggeland barnehage SA", "Buggeland barnehage"
"Espira Eikenøtta naturbarnehage AS", "Espira Eikenøtta naturbarnehage"
"Espira Sandtoppen naturbarnehage AS", "Espira Sandtoppen naturbarnehage"
"Hans og Grete barnehage SA", "Hans og Grete barnehage"
"Håbet Fus barnehage", "Håbet FUS barnehage"
"Iglemyr Fus barnehage", "Iglemyr FUS barnehage"
"Lundegård barnehage SA", "Lundegård barnehage"
"Lundehagen Fus barnehage", "Lundehagen FUS barnehage"
"Maudland Fus barnehage AS", "Maudland FUS barnehage"
"Preg barnehager Lura AS", "Preg barnehager Lura"
"Røyrvik gårdsbarnehage AS", "Røyrvik gårdsbarnehage"
"Skaarlia barnehage SA", "Skaarlia barnehage"
"Soma Gård naturbarnehage", "Soma gård naturbarnehage"
"Sviland Fus barnehage AS", "Sviland FUS barnehage"
"Trollhaugen foreldrelagsbarnehage SA", "Trollhaugen foreldrelagsbarnehage"
"Utsikten Vest Fus barnehage AS", "Utsikten Vest FUS barnehage"
"Bø barnehage AS", "Bø barnehage"
"Øyno Fus barnehage", "Øyno FUS barnehage"
"Storafjellet Fus barnehage AS", "Storafjellet FUS barnehage"
"Preg barnehager Tryggheimvegen AS", "Preg barnehager Tryggheimvegen"
"Tjemslandshagen barnehage SA", "Tjemslandshagen barnehage"
"Kleppestemmen Fus barnehage", "Kleppestemmen FUS barnehage"
"Markå barnehage SA", "Markå barnehage"
"Tjøttaparken Fus barnehage AS", "Tjøttaparken FUS barnehage"
"Vasshus gardsbarnehage AS", "Vasshus gardsbarnehage"
"Eivindsholen Fus barnehage AS", "Eivindsholen FUS barnehage"
"Preg barnehager Frøyland AS", "Preg barnehager Frøyland"
"Jærbarnehagen Fus", "Jærbarnehagen FUS"
"Spødarbakken barnehage SA", "Spødarbakken barnehage"
"Bruhammaren Fus barnehage", "Bruhammaren FUS barnehage"
"Fiskebekk barnehage SA", "Fiskebekk barnehage"
"Rishagen Fus barnehage AS", "Rishagen FUS barnehage"
"Eventyrberget barnehage SA", "Eventyrberget barnehage"
"Hålandsmarkå barnehage SA", "Hålandsmarkå barnehage"
"Rodamyr barnehage SA", "Rodamyr barnehage"
"Skadberg barnehage SA", "Skadberg barnehage"
"Stemvegen Fus barnehage", "Stemvegen FUS barnehage"
"Endrestø friluftsbarnehage SA", "Endrestø friluftsbarnehage"
"Nyvoll barnehage SA", "Nyvoll barnehage"
"Ze-Bra gårdsbarnehage AS", "Ze-bra gårdsbarnehage"
"Barnas Kulturhage AS", "Barnas kulturhage"
"Bikubå barnehage SA", "Bikubå barnehage"
"Preg barnehager Tau AS", "Preg barnehager Tau"
"Rødlandsmyrå barnehage SA", "Rødlandsmyrå barnehage"
"Jelsa oppvekstsenter Avd barnehage", "Jelsa oppvekstsenter avd. barnehage"
"Sand barnehage Avd Joagarden", "Sand barnehage avd. Joagarden"
"Vanvik oppvekstsenter Avd barnehage", "Vanvik oppvekstsenter avd. barnehage"
"Brakamoen barnehage SA", "Brakamoen barnehage"
"Asparmarka Fus barnehage", "Asparmarka FUS barnehage"
"Skjoldastraumen Maritime Fus barnehage AS", "Skjoldastraumen Maritime FUS barnehage"
"Fladaberg Fus barnehage AS", "Fladaberg FUS barnehage"
"Hakkebakkeskogen barnehage Vormedal SA", "Hakkebakkeskogen barnehage Vormedal"
"Kirketunet barnehage AS", "Kirketunet barnehage"
"Sandhåland musikk-gårdsbarnehage AS", "Sandhåland musikk-gårdsbarnehage"
"Små barnehager AS Avd Torvastad", "Små barnehager avd. Torvastad"
"Små barnehager AS Avd Viken", "Små barnehager avd. Viken"
"Steinarskogen Fus barnehage AS", "Steinarskogen FUS barnehage"
"Steinhaugane Fus barnehage", "Steinhaugane FUS barnehage"
"Åsebøen Fus barnehage AS", "Åsebøen FUS barnehage"
"Nausthaugen barnehage AS", "Nausthaugen barnehage"
"Vikedal Fus barnehage AS", "Vikedal FUS barnehage"
"Ølensjøen Fus barnehage AS", "Ølensjøen FUS barnehage"
"Gårdsbarnehage AS", "Gårdsbarnehage"
"Vassbakken barnehage SA", "Vassbakken barnehage"
"Veslefrikk barnehage SA", "Veslefrikk barnehage"
"Anestua barnehage AS", "Anestua barnehage"
"Bjørset barnehage AS", "Bjørset barnehage"
"Farmen friluftsbarnehage AS", "Farmen friluftsbarnehage"
"Liedgarden barnehage AS", "Liedgarden barnehage"
"Mobarn Bolsøya barnehage AS", "Mobarn Bolsøya barnehage"
"Mobarn Cecilienfryd barnehage AS", "Mobarn Cecilienfryd barnehage"
"Mobarn Høgnakken barnehage AS", "Mobarn Høgnakken barnehage"
"Mobarn Nordbyen barnehage AS", "Mobarn Nordbyen barnehage"
"Mobarn Vågsetra barnehage AS", "Mobarn Vågsetra barnehage"
"Mobarn Øverland barnehage AS", "Mobarn Øverland barnehage"
"Askepott barnehage AS", "Askepott barnehage"
"Barnas Hage Larsgården SA", "Barnas Hage Larsgården"
"Borgundveien barnehage AS", "Borgundveien barnehage"
"Brisk barnehage AS", "Brisk barnehage"
"Ebbegarden barnehage SA", "Ebbegarden barnehage"
"Fjelltun barnehage AS", "Fjelltun barnehage"
"Heimdalen barnehage Ba", "Heimdalen barnehage"
"Jugendby barnehage AS", "Jugendby barnehage"
"Klipra barnehage SA", "Klipra barnehage"
"Lande Fus barnehage AS", "Lande FUS barnehage"
"Preg barnehager Ålesund AS", "Preg barnehager Ålesund"
"Plassebakken barnehage SA", "Plassebakken barnehage"
"Skåthaugen barnehage SA", "Skåthaugen barnehage"
"Slinningen barnehage SA", "Slinningen barnehage"
"Solstrålen familiebarnehage AS", "Solstrålen familiebarnehage"
"Stiftelsen Rudolf Steinerbarnehagen Stjerneøye", "Stiftelsen Rudolf steinerbarnehagen Stjerneøye"
"Stokke Maritime Fus barnehage AS", "Stokke Maritime FUS barnehage"
"Tommeliten Fus barnehage", "Tommeliten FUS barnehage"
"Torvteigen barnehage AS", "Torvteigen barnehage"
"Trollhaugen barnehage AS", "Trollhaugen barnehage"
"Vegsund barnehage SA", "Vegsund barnehage"
"Veslefrikk barnehage Ålesund SA", "Veslefrikk barnehage Ålesund"
"Åsestranda barnehage SA", "Åsestranda barnehage"
"Solsikka barnehage AS", "Solsikka barnehage"
"Huldal barnehage SA", "Huldal barnehage"
"Sirlihaugen barnehage SA", "Sirlihaugen barnehage"
"Troll Lia barnehage AS", "Troll Lia barnehage"
"Troll-Myra barnehage AS", "Troll-myra barnehage"
"Blåtinden barnehage SA", "Blåtinden barnehage"
"Preg barnehager Ulsteinvik AS", "Preg barnehager Ulsteinvik"
"Sætra barnehage AS", "Sætra barnehage"
"Vikemarka barnehage AS", "Vikemarka barnehage"
"Krokedalen barnehage SA", "Krokedalen barnehage"
"Mosmarka barnehage SA", "Mosmarka barnehage"
"Trollhaugen barnehage Stranda SA", "Trollhaugen barnehage Stranda"
"Tusenfryd barnehage Stranda SA", "Tusenfryd barnehage Stranda"
"Ikornnes Fus barnehage AS", "Ikornnes FUS barnehage"
"Preg barnehager Sykkylven AS", "Preg barnehager Sykkylven"
"Velledalen naturbarnehage SA", "Velledalen naturbarnehage"
"Nymarkbakken Fus barnehage AS", "Nymarkbakken FUS barnehage"
"Rørstadmarka barnehage SA", "Rørstadmarka barnehage"
"Preg barnehager Godøy AS", "Preg barnehager Godøy"
"Preg barnehager Vestnes AS", "Preg barnehager Vestnes"
"Vike motessoribarnehage SA", "Vike motessoribarnehage"
"Innfjorden barnehage SA", "Innfjorden barnehage"
"Preg barnehager Åndalsnes AS", "Preg barnehager Åndalsnes"
"Båsemor AS", "Båsemor"
"Mobarn Panorama barnehage AS", "Mobarn Panorama barnehage"
"Mobarn Røsandåsen barnehage AS", "Mobarn Røsandåsen barnehage"
"Lykkeliten Barnehage, Storlandet SA", "Lykkeliten barnehage, Storlandet"
"Preg barnehager Torvikbukt AS", "Preg barnehager Torvikbukt"
"Meisingset oppvekstsenter Avd barnehage", "Meisingset oppvekstsenter avd. barnehage"
"Gjøra oppvekstsenter Avd barnehage", "Gjøra oppvekstsenter avd. barnehage"
"Bøfjorden og Bæverfjord oppvekstsenter Avd Bæverfjord barnehage", "Bøfjorden og Bæverfjord oppvekstsenter avd. Bæverfjord barnehage"
"Bøfjorden og Bæverfjord oppvekstsenter Avd Bøfjorden barnehage", "Bøfjorden og Bæverfjord oppvekstsenter avd. Bøfjorden barnehage"
"Bårdshaugen barnehage AS", "Bårdshaugen barnehage"
"Mo oppvekstsenter Avd barnehage", "Mo oppvekstsenter avd. barnehage"
"Todalen og Stangvik oppvekstsenter Avd Stangvik barnehage", "Todalen og Stangvik oppvekstsenter avd. Stangvik barnehage"
"Øye barnehage Avd. Øye", "Øye barnehage avd. Øye"
"Straumsvik barnehage SA", "Straumsvik barnehage"
"Rotset barnehage SA", "Rotset barnehage"
"Studentsamskipnaden i Volda Avd Røysmarka studentbarnehage", "Studentsamskipnaden i Volda avd. Røysmarka studentbarnehage"
"Tunåsen barnehage AS", "Tunåsen barnehage"
"Volda Opne barnehage Avd barnehage", "Volda Opne barnehage avd. barnehage"
"Krohnstad montessoribarnehage Skaret AS", "Krohnstad montessoribarnehage Skaret"
"Mobarn Dalelia barnehage AS", "Mobarn Dalelia barnehage"
"Mobarn Hauglia barnehage AS", "Mobarn Hauglia barnehage"
"Mobarn Lyngen barnehage AS", "Mobarn Lyngen barnehage"
"Mobarn Sylte og Malme barnehage AS", "Mobarn Sylte og Malme barnehage"
"Preg barnehager Elnesvågen AS", "Preg barnehager Elnesvågen"
"Brattvåg barnehage SA", "Brattvåg barnehage"
"Preg barnehager Brattvåg AS", "Preg barnehager Brattvåg"
"Preg barnehager Vatne AS", "Preg barnehager Vatne"
