"NBR name", "new name"
"Luna familiebarnehage Avdeling Fjellhamar", "Luna familiebarnehage avd. Fjellhamar"
"Luna familiebarnehage Avdeling Skårer", "Luna familiebarnehage avd. Skårer"
"Nesåsen barnehage SA", "Nesåsen barnehage"
"Skårungen Barnehave SA", "Skårungen barnehave"
"Stiftelsen Idavollen steinerbarnehage", "Stiftelsen Idavollen Steinerbarnehage"
"Takt og Tone Eventyrskogen/Røykås Musikkbarnehage", "Takt og Tone Eventyrskogen/røykås musikkbarnehage"
"Vangen barnehage SA", "Vangen barnehage"
"Åsheimskog Fus barnehage", "Åsheimskog FUS barnehage"
"Hektneråsen Fus barnehage AS", "Hektneråsen FUS barnehage"
"Tangen barnehage SA", "Tangen barnehage"
"Tomter Fus barnehage AS", "Tomter FUS barnehage"
"Østre Strøm Fus barnehage", "Østre Strøm FUS barnehage"
"Barnehagegården AS", "Barnehagegården"
"Ekeberg barnehage AS", "Ekeberg barnehage"
"Epletunet barnehage AS", "Epletunet barnehage"
"Ole Brumm barnehage Aurskog AS", "Ole Brumm barnehage Aurskog"
"Plommehagen barnehage AS", "Plommehagen barnehage"
"Setskog oppvekstsenter Avd barnehage", "Setskog oppvekstsenter avd. barnehage"
"Trampen barnehage AS", "Trampen barnehage"
"Korsdalen barnehage Avdeling Hagadalen AS", "Korsdalen barnehage avd. Hagadalen"
"Korsdalen barnehage SA Avd Grendehusvegen", "Korsdalen barnehage avd. grendehusvegen"
"Korsdalen barnehage SA Avd Hagadalen", "Korsdalen barnehage avd. Hagadalen"
"Nes kommune Familiens Hus Åpen barnehage", "Nes kommune familiens Hus åpen barnehage"
"Tomteråsen barnehage SA", "Tomteråsen barnehage"
"Udnes naturbarnehage AS", "Udnes naturbarnehage"
"Vormsund barnehage SA", "Vormsund barnehage"
"Gjerdrum friluftsbarnehage AS", "Gjerdrum friluftsbarnehage"
"Hoelstoppen Familiebarnehager Tove Olstad", "Hoelstoppen familiebarnehager Tove Olstad"
"Gnisten barnehage SA", "Gnisten barnehage"
"Hundremeterskogen Ideelle & Biologiske barnehage SA", "Hundremeterskogen Ideelle & Biologiske barnehage"
"Industriveien Fus barnehage", "Industriveien FUS barnehage"
"Kruttverket Fus barnehage AS", "Kruttverket FUS barnehage"
"Maristua barnehage SA", "Maristua barnehage"
"Parken barnehage Ans", "Parken barnehage"
"Rotnes Fus barnehage", "Rotnes FUS barnehage"
"Sinoberbarnehagene AS", "Sinoberbarnehagene"
"Solstua barnehage AS", "Solstua barnehage"
"Steinrøysa andelsbarnehage SA", "Steinrøysa andelsbarnehage"
"Stubben barnehage SA Avd Nyveien", "Stubben barnehage avd. Nyveien"
"Stubben barnehage SA Avd Velveien", "Stubben barnehage avd. Velveien"
"Sørliveien barnehage SA", "Sørliveien barnehage"
"Tøyenåsen Barnehagen", "Tøyenåsen barnehagen"
"Varingskollen barnehage SA", "Varingskollen barnehage"
"Grindvoll barnehage AS", "Grindvoll barnehage"
"Småtjern naturbarnehage AS", "Småtjern naturbarnehage"
"Spurven Familie barnehage", "Spurven familie barnehage"
"Taubanen barnehage AS", "Taubanen barnehage"
"Stortjernet barnehage AS", "Stortjernet barnehage"
"Breenenga Fus barnehage", "Breenenga FUS barnehage"
"Lykkeliten naturbarnehage V/Lise Granås", "Lykkeliten naturbarnehage Lise Granås"
"Løkka barnehage AS", "Løkka barnehage"
"Prestmosen Fus barnehage", "Prestmosen FUS barnehage"
"Andungen barnehage 1. SA", "Andungen barnehage 1."
"Feiring aktivitetsbarnehage AS", "Feiring aktivitetsbarnehage"
"Hoppensprett Camilla aktivitetsbarnehage AS", "Hoppensprett Camilla aktivitetsbarnehage"
"Knausen Fus barnehage AS", "Knausen FUS barnehage"
"Ladderud barnehage AS", "Ladderud barnehage"
"Øvre Romerike steinerbarnehage Veslebrunen", "Øvre Romerike Steinerbarnehage Veslebrunen"
"Hoppensprett Hurdal barnehage AS", "Hoppensprett Hurdal barnehage"
"Bakkefaret Fus barnehage", "Bakkefaret FUS barnehage"
"Baltazar menighetsbarnehage AS", "Baltazar menighetsbarnehage"
"Blåbærtoppen barnehage SA", "Blåbærtoppen barnehage"
"Bragernes Strand barnehage AS", "Bragernes Strand barnehage"
"Brøttet barnehage SA", "Brøttet barnehage"
"Drafnkollen Fus barnehage AS", "Drafnkollen FUS barnehage"
"Ekornheia barnehage SA", "Ekornheia barnehage"
"Eplehagan barnehage SA", "Eplehagan barnehage"
"Gulskogen barnehage Avdeling Øvre Eikervei", "Gulskogen barnehage avd. Øvre Eikervei"
"Gulskogen barnehage Avdeling Rødgata", "Gulskogen barnehage avd. Rødgata"
"Hedensrud barnehage SA", "Hedensrud barnehage"
"Kjerraten barnehage SA", "Kjerraten barnehage"
"Kobbervik Gård barnehage", "Kobbervik gård barnehage"
"Preg barnehager Åssiden AS", "Preg barnehager Åssiden"
"Røyseplassen barnehage SA", "Røyseplassen barnehage"
"Senterbarnehagen Fus AS", "Senterbarnehagen FUS"
"Skattekisten barnehage SA", "Skattekisten barnehage"
"Stiftelsen Nordby Gård barnehage", "Stiftelsen Nordby gård barnehage"
"Vinnes barnehage SA", "Vinnes barnehage"
"Bjørkebakken barnehage Avd Bjørkhaugen", "Bjørkebakken barnehage avd. Bjørkhaugen"
"Bjørkebakken barnehage Avd Gravdalsveien", "Bjørkebakken barnehage avd. Gravdalsveien"
"Dampsaga barnehage AS", "Dampsaga barnehage"
"Hovdeplassen barnehage AS", "Hovdeplassen barnehage"
"Huldraheimen steinerbarnehage AS", "Huldraheimen Steinerbarnehage"
"Huldraheimen steinerbarnehage Ii AS", "Huldraheimen Steinerbarnehage Ii"
"Idea barnehage Kongsberg AS", "Idea barnehage Kongsberg"
"Langekjenntunet barnehage AS", "Langekjenntunet barnehage"
"Madsebakken barnehage AS", "Madsebakken barnehage"
"Sandsvær barnehage SA", "Sandsvær barnehage"
"Skrimtrollet barnehage SA", "Skrimtrollet barnehage"
"Skytterløkka barnehage SA", "Skytterløkka barnehage"
"Almemoen Fus barnehage", "Almemoen FUS barnehage"
"Almgrenda steinerbarnehage", "Almgrenda Steinerbarnehage"
"Bondeheimen familiebarnehage AS", "Bondeheimen familiebarnehage"
"Dalsbråten barnehage SA", "Dalsbråten barnehage"
"Nedre Auren gårdsbarnehage AS", "Nedre Auren gårdsbarnehage"
"Skogstjernen familiebarnehage AS", "Skogstjernen familiebarnehage"
"Sokna Natur og gårdsbarnehage AS", "Sokna natur og gårdsbarnehage"
"Vesleveien familiebarnehage AS", "Vesleveien familiebarnehage"
"Åsatua naturbarnehage SA", "Åsatua naturbarnehage"
"Sundvollen oppvekstsenter Avdeling barnehage", "Sundvollen oppvekstsenter avd. barnehage"
"Svensrud Natur- og idrettsbarnehage", "Svensrud natur- og idrettsbarnehage"
"Akebakken barnehage SA", "Akebakken barnehage"
"Bakkeli barnehage SA", "Bakkeli barnehage"
"Borgestad barnehage SA", "Borgestad barnehage"
"Hasselbakken Fus barnehage AS", "Hasselbakken FUS barnehage"
"Heia Fus barnehage AS", "Heia FUS barnehage"
"Helgerud Barnegård AS", "Helgerud Barnegård"
"Jordbærkollen barnehage SA", "Jordbærkollen barnehage"
"Lier Natur og Landbruks barnehage SA", "Lier natur og Landbruks barnehage"
"Merikroken barnehage SA", "Merikroken barnehage"
"Nedre Stabæk barnehage AS", "Nedre Stabæk barnehage"
"Noahs Ark miljøbarnehage AS", "Noahs Ark miljøbarnehage"
"Nøste barnehage SA", "Nøste barnehage"
"Plutten familiebarnehage Da", "Plutten familiebarnehage"
"Sylling Fus barnehage AS", "Sylling FUS barnehage"
"Utsikten barnehage SA", "Utsikten barnehage"
"Veslefrikk Fus barnehage AS", "Veslefrikk FUS barnehage"
"Bingen barnehage AS", "Bingen barnehage"
"Harakollen Fus aktivitetsbarnehage AS", "Harakollen FUS aktivitetsbarnehage"
"Møllefossen barnehage AS", "Møllefossen barnehage"
"Røkeberg Kultur- og naturbarnehage SA", "Røkeberg kultur- og naturbarnehage"
"Trollstua barnehage SA", "Trollstua barnehage"
"Bøen barnehage SA", "Bøen barnehage"
"Kjemperud Fus barnehage AS", "Kjemperud FUS barnehage"
"Lesteberg familiebarnehage Avd 1", "Lesteberg familiebarnehage avd. 1"
"Lesteberg familiebarnehage Avd 2", "Lesteberg familiebarnehage avd. 2"
"Breidokk barnehage Avd Hallingmo", "Breidokk barnehage avd. Hallingmo"
"Dagali og Skurdalen oppvekstsenter Avd barnehage", "Dagali og Skurdalen oppvekstsenter avd. barnehage"
"Austmarka barnehage SA", "Austmarka barnehage"
"Lia barnehage SA", "Lia barnehage"
"Puttara Fus barnehage AS", "Puttara FUS barnehage"
"Vinger barnehage Avd Vennersberg", "Vinger barnehage avd. Vennersberg"
"Vinger barnehage Avd Amundheimet", "Vinger barnehage avd. Amundheimet"
"Ajer Gårds og familiebarnehage", "Ajer gårds og familiebarnehage"
"Bambini montessoribarnehage AS", "Bambini montessoribarnehage"
"Briskebyen Montessori International AS Avd Enerhaugvegen", "Briskebyen Montessori International avd. Enerhaugvegen"
"Briskebyen Montessori International AS Avd Stangevegen", "Briskebyen Montessori International avd. Stangevegen"
"Flekkenga Natur- og gårdsbarnehage AS", "Flekkenga natur- og gårdsbarnehage"
"Hamar gårdsbarnehage AS", "Hamar gårdsbarnehage"
"Hamarbarnehagen AS", "Hamarbarnehagen"
"Norsvin barnehage AS", "Norsvin barnehage"
"Askeladden barnehage SA", "Askeladden barnehage"
"Birkebeineren friluftsbarnehage SA", "Birkebeineren friluftsbarnehage"
"Engesvea Fus barnehage AS", "Engesvea FUS barnehage"
"Fagstadlia Fus barnehage AS", "Fagstadlia FUS barnehage"
"Hagehaugen barnehage SA", "Hagehaugen barnehage"
"Hammermo Fus barnehage AS", "Hammermo FUS barnehage"
"Hestehoven barnehage SA", "Hestehoven barnehage"
"Hovslageren Fus barnehage AS", "Hovslageren FUS barnehage"
"Lundgaardsløkka barnehage AS", "Lundgaardsløkka barnehage"
"Ringelihorn steinerbarnehage", "Ringelihorn Steinerbarnehage"
"Ro barnehage SA", "Ro barnehage"
"Bybrua Fus barnehage AS", "Bybrua FUS barnehage"
"Diseth Fus barnehage AS", "Diseth FUS barnehage"
"Fredvika steinerbarnehage", "Fredvika Steinerbarnehage"
"Marihøna barnehage SA", "Marihøna barnehage"
"Monssveen barnehage SA", "Monssveen barnehage"
"Nordby gårdsbarnehage Biri AS", "Nordby gårdsbarnehage Biri"
"Rolidbakken Fus barnehage AS", "Rolidbakken FUS barnehage"
"Sit Soppen studentbarnehage AS", "Sit Soppen studentbarnehage"
"Skonnordtjernet barnehage AS", "Skonnordtjernet barnehage"
"Sørbyen barnehage AS", "Sørbyen barnehage"
"Østby gårdsbarnehage AS", "Østby gårdsbarnehage"
"Brumunddal, Moelv og Nes Åpen barnehage", "Brumunddal, Moelv og Nes åpen barnehage"
"Gaupen barnehage AS", "Gaupen barnehage"
"Kjerringhaugen steinerbarnehage", "Kjerringhaugen Steinerbarnehage"
"Kremmerhuset barnehage SA", "Kremmerhuset barnehage"
"Marihøna Gårds- og friluftsbarnehage AS", "Marihøna gårds- og friluftsbarnehage"
"Mæhlumslykkja barnehage Ba", "Mæhlumslykkja barnehage"
"Nordheim friluftsbarnehage SA", "Nordheim friluftsbarnehage"
"Stavsberg barnehage SA", "Stavsberg barnehage"
"Tunet barnehage AS", "Tunet barnehage"
"Veldre barnehage SA", "Veldre barnehage"
"Øverkvern Fus barnehage", "Øverkvern FUS barnehage"
"Årengen barnehage AS", "Årengen barnehage"
"Livensveen gårdsbarnehage AS", "Livensveen gårdsbarnehage"
"Barnas Rett barnehage SA", "Barnas Rett barnehage"
"Bekkelaget barnehage AS", "Bekkelaget barnehage"
"Grimerud barnehage AS", "Grimerud barnehage"
"Kausvol gardsbarnehage AS", "Kausvol gardsbarnehage"
"Solvang barnehage AS", "Solvang barnehage"
"Stiftelsen Steinerbarnehagen på Hedemarken", "Stiftelsen steinerbarnehagen på Hedemarken"
"Oppstad Gårds- og naturbarnehage SA", "Oppstad gårds- og naturbarnehage"
"Slåstad barnehage SA", "Slåstad barnehage"
"Ullern barnehage SA", "Ullern barnehage"
"Eidskog naturbarnehage SA", "Eidskog naturbarnehage"
"Skotterudløkka barnehage AS", "Skotterudløkka barnehage"
"Svullrya barnehage Avdeling Av Solungen barnehage", "Svullrya barnehage avd. Av Solungen barnehage"
"Tjura barnehage SA", "Tjura barnehage"
"Mosogn barnehage SA", "Mosogn barnehage"
"Solør Montessori barnehage AS", "Solør Montessori barnehage"
"Tyristubben Fus barnehage AS", "Tyristubben FUS barnehage"
"Furunabben barnehage SA", "Furunabben barnehage"
"Grønnmyra Fus barnehage", "Grønnmyra FUS barnehage"
"Hagen barnehage SA", "Hagen barnehage"
"Hakkebakkeskogen naturbarnehage SA", "Hakkebakkeskogen naturbarnehage"
"Hernes Fus barnehage AS", "Hernes FUS barnehage"
"Sørskogbygda naturbarnehage SA", "Sørskogbygda naturbarnehage"
"Muggoppen barnehage AS", "Muggoppen barnehage"
"Trysil friluftbarnehage SA", "Trysil friluftbarnehage"
"Trysil menighetsbarnehage AS", "Trysil menighetsbarnehage"
"Klingen naturbarnehage SA", "Klingen naturbarnehage"
"Osen oppvekstsenter Avdeling barnehage", "Osen oppvekstsenter avd. barnehage"
"Ottershagen gardsbarnehage AS", "Ottershagen gardsbarnehage"
"Åmot montessoribarnehage SA", "Åmot montessoribarnehage"
"Stor-Elvdal naturbarnehage AS", "Stor-elvdal naturbarnehage"
"Sømådalen barnehage Da", "Sømådalen barnehage"
"Eggen barnehage SA", "Eggen barnehage"
"Fåset skole og barnehage Avd barnehage", "Fåset skole og barnehage avd. barnehage"
"Os kommunale barnehage avd Tufsingdalen", "Os kommunale barnehage avd. Tufsingdalen"
"Bismo barnehage Avd Bismo", "Bismo barnehage avd. Bismo"
"Tytingen Gards- og naturbarnehage AS", "Tytingen Gards- og naturbarnehage"
"Sentrum barnehage AS", "Sentrum barnehage"
"Skåbu oppvekstsenter Avd barnehage", "Skåbu oppvekstsenter avd. barnehage"
"Smurfen barnehage Otta AS", "Smurfen barnehage Otta"
"Thoskogen naturbarnehage AS", "Thoskogen naturbarnehage"
"Anne Margrethe's familiebarnehage AS", "Anne Margrethe's familiebarnehage"
"Annys Familiebarnehage Voldsrud A", "Annys familiebarnehage Voldsrud A"
"Gunns familiebarnehage Stavnhaugen-Kjosmoen", "Gunns familiebarnehage Stavnhaugen-kjosmoen"
"Marit Lovises Familiebarnehage", "Marit Lovises familiebarnehage"
"Sissel Liens Familiebarnehage", "Sissel Liens familiebarnehage"
"Sør-Fåvang familiebarnehage Kjersti Ringlund", "Sør-fåvang familiebarnehage Kjersti Ringlund"
"Venabygd montessoribarnehage SA", "Venabygd montessoribarnehage"
"Dulven friluftsbarnehage SA", "Dulven friluftsbarnehage"
"Granrudmoen barnehage SA", "Granrudmoen barnehage"
"Baklia Stall & gårdsbarnehage AS", "Baklia Stall & gårdsbarnehage"
"Follebu Fus barnehage", "Follebu FUS barnehage"
"Eventyråsen barnehage AS", "Eventyråsen barnehage"
"Fredsvoll barnehage SA", "Fredsvoll barnehage"
"Lena Fus barnehage AS", "Lena FUS barnehage"
"Nye Bonderudbakken gårdsbarnehage AS", "Nye Bonderudbakken gårdsbarnehage"
"Lunde gårdsbarnehage AS", "Lunde gårdsbarnehage"
"Polaris Fus barnehage AS", "Polaris FUS barnehage"
"Reinsvoll barnehage SA Privat Foreldreeid barnehage", "Reinsvoll barnehage privat Foreldreeid barnehage"
"Trollskogen barnehage SA", "Trollskogen barnehage"
"Bergseng bondegårds-barnehage AS", "Bergseng bondegårds-barnehage"
"Emsetrolla Familiebarnehage", "Emsetrolla familiebarnehage"
"Gran kommune Grymyr oppvekstsenter Barnehage", "Gran kommune Grymyr oppvekstsenter barnehage"
"Gran Natur- og familiebarnehage", "Gran natur- og familiebarnehage"
"Rakalauv barnehage SA", "Rakalauv barnehage"
"Ranheim naturbarnehage SA", "Ranheim naturbarnehage"
"Heggebø friluftsbarnehage SA", "Heggebø friluftsbarnehage"
"Lilaas Gård Barnehage, Inger Marie Semb Avdal", "Lilaas gård barnehage, Inger Marie Semb Avdal"
"Skrukketrollet familiebarnehage Da", "Skrukketrollet familiebarnehage"
"Trimveien barnehage Da", "Trimveien barnehage"
"Åsgårdstrand barnehage Avd Lønneveien", "Åsgårdstrand barnehage avd. Lønneveien"
"Åsgårdstrand barnehage Avd Nygårdsløkka", "Åsgårdstrand barnehage avd. Nygårdsløkka"
"Eidsfoss barnehage AS", "Eidsfoss barnehage"
"Eikelund barnehage SA", "Eikelund barnehage"
"Galleberg barnehage SA", "Galleberg barnehage"
"Gaupås barnehage SA", "Gaupås barnehage"
"Holmestrand Internasjonale montesssoribarnehage SA", "Holmestrand Internasjonale montesssoribarnehage"
"Møllerdammen naturbarnehage AS", "Møllerdammen naturbarnehage"
"Preg barnehager Botne AS", "Preg barnehager Botne"
"Preg barnehager Fredly AS", "Preg barnehager Fredly"
"Vammen friluftsbarnehage AS", "Vammen friluftsbarnehage"
"Velle Kjeldås barnehage AS", "Velle Kjeldås barnehage"
"Belmar barnehage AS", "Belmar barnehage"
"Bogen barnehage SA", "Bogen barnehage"
"Brekke naturbarnehage AS", "Brekke naturbarnehage"
"Husøy Maritime Fus barnehage AS", "Husøy Maritime FUS barnehage"
"Knerten-Familiebarnehage Da", "Knerten-familiebarnehage"
"Linnestad barnehage SA", "Linnestad barnehage"
"Løkebergstua barnehage SA", "Løkebergstua barnehage"
"Ole Brumm familiebarnehage Da", "Ole Brumm familiebarnehage"
"Ramnes private barnehage AS", "Ramnes private barnehage"
"Rørås gårdsbarnehage AS", "Rørås gårdsbarnehage"
"Velle Sigridløkka barnehage AS", "Velle Sigridløkka barnehage"
"Velle Træleborg barnehage AS", "Velle Træleborg barnehage"
"Barnas Have A/S", "Barnas Have"
"Barnas Have Avdeling Bugården AS", "Barnas Have avd. Bugården"
"Epleblomsten steinerbarnehage i Sandefjord", "Epleblomsten Steinerbarnehage i Sandefjord"
"Furustad barnehage SA", "Furustad barnehage"
"Gapahuken Natur- og friluftsbarnehage AS", "Gapahuken natur- og friluftsbarnehage"
"Holtegrenda naturbarnehage AS", "Holtegrenda naturbarnehage"
"Hunsrød Fevang barnehage SA Avd Hunsrødgrenda", "Hunsrød Fevang barnehage avd. Hunsrødgrenda"
"Høgenhall barnehage SA", "Høgenhall barnehage"
"Kathrines Have AS", "Kathrines Have"
"Lahelle barnehage AS", "Lahelle barnehage"
"Mokollen barnehage AS", "Mokollen barnehage"
"Naturkameratene Ans", "Naturkameratene"
"Prestekragen barnehage AS", "Prestekragen barnehage"
"Smiehavna gårdsbarnehage AS", "Smiehavna gårdsbarnehage"
"Sole barnehage SA", "Sole barnehage"
"Soltoppen barnehage AS", "Soltoppen barnehage"
"Solvang barnehage SA", "Solvang barnehage"
"Sverstad barnehage AS", "Sverstad barnehage"
"Toppen barnehage AS", "Toppen barnehage"
"Velle Olaløkka barnehage AS", "Velle Olaløkka barnehage"
"Veslehaven barnehage AS", "Veslehaven barnehage"
"Villa Villekulla barnehage AS", "Villa Villekulla barnehage"
"Østerøy naturbarnehage SA", "Østerøy naturbarnehage"
"Bakkebygrenda barnehage SA", "Bakkebygrenda barnehage"
"Bisjord Fus barnehage AS", "Bisjord FUS barnehage"
"Gjerstad Natur- og gårdsbarnehage", "Gjerstad natur- og gårdsbarnehage"
"Hakkebakkeskogen barnehage SA", "Hakkebakkeskogen barnehage"
"Leikvang barnehage SA", "Leikvang barnehage"
"Salbutangen Fus barnehage AS", "Salbutangen FUS barnehage"
"Stensby Lillefot familiebarnehage V/Hilde Olsen Stensby", "Stensby Lillefot familiebarnehage Hilde Olsen Stensby"
"Trollsteinen barnehage SA", "Trollsteinen barnehage"
"Villa-Kulla barnehage AS", "Villa-kulla barnehage"
"Brattås barnehage AS", "Brattås barnehage"
"Hundremeterskogen Barnehage, Nøtterøy Da", "Hundremeterskogen barnehage, Nøtterøy"
"Smidsrød Fus barnehage AS", "Smidsrød FUS barnehage"
"Stiftelsen Steinerbarnehagen på Nøtterøy Avd Labakken", "Stiftelsen steinerbarnehagen på Nøtterøy avd. Labakken"
"Stiftelsen Steinerbarnehagen på Nøtterøy Avd Stjerneskudd", "Stiftelsen steinerbarnehagen på Nøtterøy avd. Stjerneskudd"
"Teie Kirkes barnehage", "Teie kirkes barnehage"
"Tripp-Trapp åpen barnehage", "Tripp-trapp åpen barnehage"
"Brevik oppvekstsenter Avd barnehage", "Brevik oppvekstsenter avd. barnehage"
"Eplehagen Barnehagen", "Eplehagen barnehagen"
"Min Barnehage, Øyekast AS", "Min barnehage, Øyekast"
"Nystrand barnehage AS Avd Nystrandvegen", "Nystrand barnehage avd. Nystrandvegen"
"Sirius familiebarnehage AS", "Sirius familiebarnehage"
"Skrapeklev barnehage SA", "Skrapeklev barnehage"
"Spire & Gro Liane barnehage AS", "Spire & Gro Liane barnehage"
"Spire & Gro Melkeveien barnehage AS", "Spire & Gro Melkeveien barnehage"
"Spire & Gro Rypevegen barnehage AS", "Spire & Gro Rypevegen barnehage"
"Spire & Gro Skogtoppen barnehage AS", "Spire & Gro Skogtoppen barnehage"
"Stulen gårdsbarnehage AS", "Stulen gårdsbarnehage"
"Vest-Tun barnehage AS", "Vest-tun barnehage"
"Barnehagen Gregorius AS", "Barnehagen Gregorius"
"Enggrav skole og barnehage Avd barnehage", "Enggrav skole og barnehage avd. barnehage"
"Espira Kulturstien AS", "Espira kulturstien"
"Gjerpenshavna barnehage SA", "Gjerpenshavna barnehage"
"Hjerterommet familiebarnehage AS", "Hjerterommet familiebarnehage"
"Kapitelberget Natur - og kulturbarnehage SA", "Kapitelberget natur - og kulturbarnehage"
"Knøttne familiebarnehage AS", "Knøttne familiebarnehage"
"Melum barnehage SA", "Melum barnehage"
"Skauen Kristelige barnehage", "Skauen kristelige barnehage"
"Skogmusa barnehage SA", "Skogmusa barnehage"
"Skotfoss oppvekstsenter Avd barnehage", "Skotfoss oppvekstsenter avd. barnehage"
"Sykehuset Telemark Hf Trekløveren barnehage", "Sykehuset Telemark HF Trekløveren barnehage"
"Troens Liv barnehage AS", "Troens Liv barnehage"
"Betania barnehage AS", "Betania barnehage"
"Idea barnehage Notodden AS", "Idea barnehage Notodden"
"Læringsverkstedet Hjuksebø naturbarnehage AS", "Læringsverkstedet Hjuksebø naturbarnehage"
"Preg barnehager Tinnesmoen AS", "Preg barnehager Tinnesmoen"
"Sætrebo barnehage AS", "Sætrebo barnehage"
"Villamoen barnehage AS", "Villamoen barnehage"
"Yli barnehage AS", "Yli barnehage"
"Falkåsen barnehage Avd Lyngbakken", "Falkåsen barnehage avd. Lyngbakken"
"Solstua kulturbarnehage AS", "Solstua kulturbarnehage"
"Frydensborg Gård barnehage AS", "Frydensborg gård barnehage"
"Levangsheia oppvekstsenter Avd barnehage", "Levangsheia oppvekstsenter avd. barnehage"
"Læringsverkstedet Nordagutu naturbarnehage AS", "Læringsverkstedet Nordagutu naturbarnehage"
"Maurtuva barnehage SA", "Maurtuva barnehage"
"Seljord barnehage Avd Heddeli barnehage", "Seljord barnehage avd. Heddeli barnehage"
"Seljord barnehage Avd Tussejuv barnehage", "Seljord barnehage avd. Tussejuv barnehage"
"Furuheim barnehage Avd Hovin", "Furuheim barnehage avd. Hovin"
"Brunkeberg oppvekstsenter Avd barnehage", "Brunkeberg oppvekstsenter avd. barnehage"
"Øyfjell oppvekstsenter Avd barnehage", "Øyfjell oppvekstsenter avd. barnehage"
"Amandus barnehage SA", "Amandus barnehage"
"Frydenborg barnehage AS", "Frydenborg barnehage"
"Frydendal Åpen barnehage", "Frydendal åpen barnehage"
"Hope oppvekstsenter Avdeling barnehage", "Hope oppvekstsenter avd. barnehage"
"Tjenna barnehage AS", "Tjenna barnehage"
"Trollstua barnehage Natur og idrettsbarnehage", "Trollstua barnehage natur og idrettsbarnehage"
"Alven eventyrbarnehage i Trollvika AS", "Alven eventyrbarnehage i Trollvika"
"Espira Holbekk idrettsbarnehage AS", "Espira Holbekk idrettsbarnehage"
"Matilda Natur- og teaterbarnehage Avd Fuhr", "Matilda natur- og teaterbarnehage avd. Fuhr"
"Maurtua Familiebarnehage Grømheia", "Maurtua familiebarnehage Grømheia"
"Maurtua Familiebarnehage Grømjordet", "Maurtua familiebarnehage Grømjordet"
"Nyhaven familiebarnehage AS", "Nyhaven familiebarnehage"
"Regnbuebarna AS", "Regnbuebarna"
"Solstrålen barnehage AS", "Solstrålen barnehage"
"Temseveien barnehage AS", "Temseveien barnehage"
"Tykkåsen barnehage AS", "Tykkåsen barnehage"
"Vikkilen barnehage AS", "Vikkilen barnehage"
"Alvehetta Fus barnehage", "Alvehetta FUS barnehage"
"Asdal barnehage AS", "Asdal barnehage"
"Bråstad barnehage AS", "Bråstad barnehage"
"Drømmevika naturbarnehage AS", "Drømmevika naturbarnehage"
"Enghaven barnehage AS", "Enghaven barnehage"
"Eplehagen Barnehagen AS", "Eplehagen barnehagen"
"Jobbklar AS Moltemyrskogen barnehage", "Jobbklar Moltemyrskogen barnehage"
"Jovannslia Barnehageenhet", "Jovannslia barnehageenhet"
"Kirkens Bymisjon Arendal Åpen barnehage på Torvet", "Kirkens Bymisjon Arendal åpen barnehage på Torvet"
"Lia Barnehageenehet", "Lia barnehageenehet"
"Lille-Strømsbu barnehage Ans", "Lille-strømsbu barnehage"
"Lindebakken barnehage AS", "Lindebakken barnehage"
"Løvehulen barnehage AS", "Løvehulen barnehage"
"Natvigheia barnehage SA", "Natvigheia barnehage"
"Nedenesåsen barnehage AS", "Nedenesåsen barnehage"
"Nidelvåsen barnehage AS", "Nidelvåsen barnehage"
"Noah barnehage AS", "Noah barnehage"
"Nye Solsikken barnehage AS", "Nye Solsikken barnehage"
"Rykene oppvekstsenter Avd barnehage", "Rykene oppvekstsenter avd. barnehage"
"Skare familiebarnehage AS", "Skare familiebarnehage"
"Snehvit familiebarnehage AS", "Snehvit familiebarnehage"
"Solsikken barnehage AS", "Solsikken barnehage"
"Spornes gårdsbarnehage AS", "Spornes gårdsbarnehage"
"Springkleiv barnehage AS", "Springkleiv barnehage"
"Strømmen oppvekstsenter Avd barnehage", "Strømmen oppvekstsenter avd. barnehage"
"Svalestien barnehage AS", "Svalestien barnehage"
"Trollstubben barnehage AS", "Trollstubben barnehage"
"Tromøy Barnehageenhet, Fabakken Avd Karius og Baktus", "Tromøy barnehageenhet, Fabakken avd. Karius og Baktus"
"Tromøy Barnehageenhet, Fjellvik", "Tromøy barnehageenhet, Fjellvik"
"Vippa Fus barnehage AS", "Vippa FUS barnehage"
"Alvejordet steinerbarnehage", "Alvejordet Steinerbarnehage"
"Andungen barnehage SA", "Andungen barnehage"
"Bjørndalen barnehage AS", "Bjørndalen barnehage"
"Blekkulf barnehage Ans", "Blekkulf barnehage"
"Blåmann steinerbarnehage", "Blåmann Steinerbarnehage"
"Brattvolltoppen familiebarnehage Ans", "Brattvolltoppen familiebarnehage"
"Eplehagen barnehage SA", "Eplehagen barnehage"
"Eventyrskogen barnehage Helleland AS", "Eventyrskogen barnehage Helleland"
"Fergefjellet barnehage Avd Oddernes", "Fergefjellet barnehage avd. Oddernes"
"Fiskåtangen barnehage AS", "Fiskåtangen barnehage"
"Hånes Åpne barnehage AS", "Hånes åpne barnehage"
"Jegersberg Barnehagedrift AS", "Jegersberg barnehagedrift"
"Justvik Åpne barnehage", "Justvik åpne barnehage"
"Kalvehagen Familiebarnehage - avd Hundremeterskogen Da", "Kalvehagen familiebarnehage - avd. Hundremeterskogen"
"Kalvehagen familiebarnehage Da", "Kalvehagen familiebarnehage"
"Kanutten Familiebarnehage Musikkbarnehage", "Kanutten familiebarnehage musikkbarnehage"
